project,name,facility,owner,address,city,county,cost,sqft_stated,work,status,registered,start,end,scope,design_firm,url,sqft,sqft_source,primary,duplicate_of,cost_per_sqft,cost_suspect,area_is_campus,found_by,geo_precision,lon,lat
TABS2026006358,Vantage Data Centers TX21 Tenant Fit-out,VDC TX21,VANTAGE DATA CENTERS TX2 LLC,5207 ROGERS ROAD,San Antonio,Bexar,135000000.0,162785,Renovation/Alteration,Project Registered,2025-11-19,2025-12-01,2026-06-02,"Tenant Fit Out - 162,785 SF",Corgan,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026006358,162785,,True,,829,False,False,project name,address,-98.700563,29.482938
TABS2023026611,Edged DFW Data Center,Edged DFW Data Center,Edged Dallas LLC,505 N Wildwood Drive,Irving,Dallas,35000000.0,162543,Renovation/Alteration,Project Registered,2023-08-23,2023-08-23,2024-11-01,"The scope of development involves modifications to an existing warehouse. The project aims to incorporate data processing halls, along with accompanying office facilities and essential electrical and mechanical components.",Burns and McDonnell,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2023026611,162543,,True,,215,False,False,facility name; project name,address,-96.918115,32.817593
TABS2026006556,DA12-2,DA12,DA12,1550 West Mockingbird Lane,Dallas,Dallas,293692007.0,158293,Renovation/Alteration,Review Complete,2025-11-21,2027-09-29,2028-03-30,"Interior fit-out on the first and second floors within a four-story, 372,517 sf data center, including interior partitions, doors, ceilings, lighting fixtures, mechanical and electrical equipment.",Margulies Hoelzli Architecture,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026006556,158293,,True,,1855,False,False,scope of work,address,-96.85885,32.82077
TABS2026022947,HOU2 CAPACITY EXPANSION,HOU2,"Data Center Houston, LLC",5170 WESTWAY PARK BLVD,Houston,Harris,20000000.0,157698,Renovation/Alteration,Review Complete,2026-06-16,2026-07-07,2027-09-27,CAPACITY EXPANSION WITHIN HOU2 FACILITY WITH 6MW OF CRITICAL IT LOUD,CORGAN,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026022947,157698,,True,,127,False,False,scope of work,address,-95.556578,29.844346
TABS2023013247,SAT40,SAT40 Data Center,Microsoft,15000 Lambda Drive,San Antonio,Bexar,175900000.0,153227,New Construction,Review Complete,2023-03-03,2023-06-15,2023-09-15,Site and building shell data center including administrative components and data center.,Page Southerland Page,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2023013247,153227,,True,,1148,False,False,facility name; scope of work,address,-98.802942,29.414005
TABS2023010309,Bastrop Project,Data Center,"CENTRAL TEXAS AIRPORT, LLC",2048 FM 969,Elgin,Bastrop,10000000.0,150000,New Construction,Review Complete,2023-01-26,2022-10-03,2024-11-30,Build 4 evaporative building and 1 warehouse and 1 office building,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2023010309,150000,,True,,67,False,False,facility name,address,-97.445123,30.227515
TABS2024003560,Skybox - Austin 2,Building 2,"Austin Data Center 2, LLC",2515 S Kenney Fort Blvd,Pflugerville,Travis,63000000.0,148500,New Construction,Project Registered,2023-10-19,2023-12-01,2024-10-01,"Site improvements & construction of a new Core & Shell building with a future use as a Data Center. The proposed project has a two story office & a one story Data Center shell scope, 148,500sf.",Corgan,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024003560,148500,,True,,424,False,False,scope of work,address,-97.658767,30.422521
TABS2026022992,QTS FTW1 DC1 Expansion,QTS FTW1 DC1 Expansion,Quality Technology Services (QTS),"14100 Park Vista Blvd,",Fort Worth,Tarrant,300000000.0,147946,New Construction,Project Registered,2026-06-16,2026-07-01,2027-10-01,"Expansion of a two-story, 147, 946 sq.ft. data center with equipment yard.",Corgan Associates Inc.,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026022992,147946,,True,,2028,False,False,operator name; scope of work,address,-97.259558,32.988591
TABS2025012175,Helios Light Speed,Helios,Galaxy Helios I LLC,"984 County Road 112,",Afton,Dickens,800000000.0,147457,New Construction,Review Complete,2025-02-18,2025-03-30,2026-06-30,"A data center(136,057SF), and a water treatment building(11,400SF).",STG Design,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025012175,147457,,True,,5425,True,False,scope of work,address,-100.86692,33.780398
TABS2024010244,Skybox - Austin 2 Initial Improvements,Building 2,"Austin Data Center 2, LLC",2515 S Kenney Fort Blvd.,Pflugerville,Travis,60000000.0,146270,Additions to Existing Building,Project Registered,2024-01-26,2024-02-15,2025-07-15,"THIS PROJECT INCLUDES INTERIOR IMPROVEMENTS TO AN EXISTING 146,270 SF SHELL BUILDING ADDING SUPPORT INFRASTRUCTURE.",Corgan Associates,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024010244,146270,,True,,410,False,False,scope of work,address,-97.658767,30.422521
TABS2026008019,Temple Data Center,TTX03,Polmer LLC,2230 Eberhardt Rd,Temple,Bell,197000000.0,145000,New Construction,Project Registered,2025-12-15,2025-12-15,2026-09-30,"145,177SF Single Story Data Center Building",,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026008019,145000,,True,,1359,False,False,project name; scope of work,address,-97.360462,31.124665
